state,division
Alabama,East South Central
Alaska,Pacific
Arizona,Mountain
Arkansas,West South Central
California,Pacific
Colorado,Mountain
Connecticut,New England
Delaware,South Atlantic
Florida,South Atlantic
Georgia,South Atlantic
Hawaii,Pacific
Idaho,Mountain
Illinois,East North Central
Indiana,East North Central
Iowa,West North Central
Kansas,West North Central
Kentucky,East South Central
Louisiana,West South Central
Maine,New England
Maryland,South Atlantic
Massachusetts,New England
Michigan,East North Central
Minnesota,West North Central
Mississippi,East South Central
Missouri,West North Central
Montana,Mountain
Nebraska,West North Central
Nevada,Mountain
New Hampshire,New England
New Jersey,Middle Atlantic
New Mexico,Mountain
New York,Middle Atlantic
North Carolina,South Atlantic
North Dakota,West North Central
Ohio,East North Central
Oklahoma,West South Central
Oregon,Pacific
Pennsylvania,Middle Atlantic
Rhode Island,New England
South Carolina,South Atlantic
South Dakota,West North Central
Tennessee,East South Central
Texas,West South Central
Utah,Mountain
Vermont,New England
Virginia,South Atlantic
Washington,Pacific
West Virginia,South Atlantic
Wisconsin,East North Central
Wyoming,Mountain
